house_id,area_type,availability,location,size,society,total_sqft,bath,balcony,price
house_12486,Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,,900,2.0,1.0,145.0
house_5256,Super built-up  Area,19-Jan,Mailasandra,2 BHK,Hanar I,999,2.0,1.0,43.66
house_10453,Super built-up  Area,18-May,Ananth Nagar,2 BHK,,1074,2.0,2.0,26.85
house_1350,Super built-up  Area,18-May,Hosa Road,2 BHK,,1079,2.0,1.0,32.37
house_9116,Super built-up  Area,Ready To Move,Doctors Layout,3 BHK,Deonsxp,1450,3.0,2.0,75.0
house_3511,Plot  Area,Ready To Move,Uttarahalli,7 Bedroom,,1200,7.0,2.0,225.0
house_10606,Super built-up  Area,18-Dec,Kaikondrahalli,2 BHK,,900,2.0,1.0,27.0
house_6505,Plot  Area,Ready To Move,Yeshwanthpur,9 Bedroom,,2400,6.0,,270.0
house_1951,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1238,2.0,1.0,67.0
house_11183,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Soe 2as,1126,2.0,1.0,36.0
house_12148,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,1330,2.0,2.0,44.0
house_2781,Plot  Area,Ready To Move,1st Block HRBR Layout,7 Bedroom,,2400,7.0,3.0,355.0
house_4124,Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1160,1.0,0.0,163.0
house_8081,Built-up  Area,Ready To Move,Nagarbhavi,5 Bedroom,,2500,3.0,2.0,180.0
house_5741,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,5.0,3.0,204.0
house_1140,Built-up  Area,Ready To Move,Basaveshwara Nagar,3 BHK,Suncy R,1865,3.0,3.0,145.0
house_734,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa 3t ,1185,2.0,2.0,47.0
house_8292,Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,BaiseBa,1365,2.0,1.0,72.0
house_374,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,46.8
house_11130,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Gasom B,1204,2.0,2.0,58.0
house_7049,Built-up  Area,Ready To Move,Peenya,4 Bedroom,,1200,4.0,1.0,140.0
house_465,Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2.0,2.0,126.0
house_9879,Built-up  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,,2800,5.0,3.0,130.0
house_11518,Plot  Area,Ready To Move,Abbigere,6 Bedroom,,1200,6.0,1.0,95.0
house_12357,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,36.54
house_11280,Super built-up  Area,19-Oct,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,75.0
house_2200,Built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1500,3.0,2.0,88.0
house_10368,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Srntssh,1130,2.0,2.0,55.0
house_12702,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1250,3.0,3.0,62.6
house_13217,Plot  Area,Ready To Move,T Dasarahalli,6 Bedroom,,1200,3.0,,125.0
house_4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,51.0
house_2554,Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,,1465,2.0,3.0,74.72
house_5209,Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,Wiaysld,1230,2.0,1.0,58.0
house_8782,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Priew P,1704,3.0,1.0,120.0
house_11991,Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Ablmsol,1495,2.0,2.0,70.0
house_4739,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255,2.0,3.0,66.0
house_1915,Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1360,2.0,2.0,54.39
house_1551,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1180,2.0,2.0,58.0
house_9479,Super built-up  Area,Ready To Move,Gottigere,2 BHK,,1170,2.0,2.0,40.0
house_8866,Super built-up  Area,Ready To Move,Harlur,3 BHK,,1756,3.0,2.0,134.0
house_145,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,225.0
house_6073,Plot  Area,18-Jan,Horamavu Agara,6 Bedroom,,1000,5.0,3.0,98.0
house_7817,Super built-up  Area,Ready To Move,Pampa Extension,2 BHK,Pancy R,993,2.0,3.0,45.5
house_9626,Super built-up  Area,Ready To Move,Judicial Layout,2 BHK,,1165,2.0,1.0,49.61
house_6388,Built-up  Area,Ready To Move,Mullur,3 BHK,Arora A,2099,3.0,,95.0
house_7606,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,1415,3.0,1.0,65.0
house_8821,Super built-up  Area,Ready To Move,Chelekare,2 BHK,,1250,2.0,1.0,62.4
house_7849,Super built-up  Area,Ready To Move,Ilyas Nagar,4 BHK,,750,6.0,2.0,75.0
house_11834,Super built-up  Area,18-May,Kasavanhalli,3 BHK,,2035,3.0,2.0,142.0
house_9157,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1702,3.0,2.0,115.0
house_656,Built-up  Area,18-Mar,Haralur Road,4 BHK,SNnia E,3385,5.0,,260.0
house_2682,Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1980,3.0,2.0,224.0
house_13166,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Srtasno,907,2.0,1.0,40.0
house_12794,Super built-up  Area,Ready To Move,Yemlur,2 BHK,Saensar,1210,2.0,1.0,60.0
house_1985,Plot  Area,Ready To Move,Magadi Road,4 Bedroom,,1500,2.0,2.0,93.0
house_3955,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,925,2.0,3.0,38.0
house_7432,Built-up  Area,Ready To Move,Brookefield,2 BHK,,1230,2.0,3.0,55.0
house_4860,Super built-up  Area,17-Jul,Marathahalli,2 BHK,Prionad,1358,2.0,1.0,81.0
house_11023,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,GCiewty,1222,2.0,1.0,68.0
house_2994,Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1330,4.0,1.0,140.0
house_6171,Built-up  Area,18-Feb,Gunjur Palya,2 BHK,BDectou,830,2.0,2.0,40.0
house_11374,Built-up  Area,Ready To Move,Kaval Byrasandra,3 Bedroom,,2700,3.0,2.0,200.0
house_9749,Built-up  Area,Ready To Move,Electronic City,2 BHK,VHistal,1142,2.0,0.0,35.0
house_3443,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,,1143,2.0,2.0,65.0
house_4028,Built-up  Area,Ready To Move,Sarvabhouma Nagar,1 BHK,,500,1.0,0.0,24.0
house_3999,Super built-up  Area,Ready To Move,Hormavu,3 BHK,Ocock R,1500,3.0,3.0,70.0
house_11554,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1700,3.0,2.0,75.0
house_4791,Super built-up  Area,Ready To Move,Gottigere,2 BHK,Srncyla,1000,2.0,1.0,35.0
house_5710,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1243,2.0,2.0,46.0
house_11984,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ascid P,1814,3.0,3.0,63.0
house_10740,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1299,2.0,1.0,97.0
house_2622,Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Prmesad,1470,2.0,2.0,75.0
house_1458,Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,GradeMR,1080,2.0,2.0,80.0
house_1651,Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1650,2.0,1.0,75.0
house_8835,Super built-up  Area,18-Apr,Bhoganhalli,2 BHK,Rosha I,1444,2.0,1.0,75.97
house_5189,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,75.0
house_7835,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,1320,2.0,1.0,100.0
house_8013,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,Saitya ,1760,3.0,2.0,142.0
house_10558,Super built-up  Area,18-Aug,6th Phase JP Nagar,3 BHK,,1250,3.0,3.0,48.9
house_9207,Built-up  Area,Ready To Move,Hennur Road,2 BHK,DSeldpr,1297,2.0,1.0,49.9
house_8002,Plot  Area,18-May,Kasavanhalli,4 Bedroom,,4408,4.0,2.0,344.0
house_8632,Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1040,2.0,1.0,33.28
house_2083,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1297,2.0,1.0,105.0
house_3556,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,SaodySa,1512,2.0,2.0,110.0
house_5935,Plot  Area,Ready To Move,Hallehalli,4 Bedroom,,1260,4.0,2.0,65.0
house_2809,Plot  Area,Immediate Possession,Sarjapur  Road,,AsdiaAr,1200 - 2400,,,28.785
house_3059,Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,47.4
house_4260,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Pu270a ,1825,3.0,2.0,126.0
house_4425,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,1996,3.0,2.0,135.0
house_6978,Built-up  Area,18-Feb,Ramamurthy Nagar,2 BHK,,1334,2.0,1.0,67.0
house_658,Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,1200,2.0,1.0,45.0
house_12394,Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1154,2.0,1.0,51.8
house_5417,Built-up  Area,18-Apr,Whitefield,4 BHK,,3200,4.0,3.0,224.0
house_5290,Super built-up  Area,Ready To Move,Kogilu,1 BHK,,700,1.0,1.0,30.84
house_9302,Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,810,2.0,1.0,25.5
house_4161,Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,40.0
house_9537,Super built-up  Area,18-Apr,Sarjapur,2 BHK,SNityVe,900,2.0,2.0,27.98
house_6481,Super built-up  Area,18-Jun,Chandapura,3 BHK,SuVue S,1100 - 1225,,,30.215
house_11999,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1104,2.0,2.0,58.0
house_5834,Super built-up  Area,18-Mar,Indira Nagar,3 BHK,,2601,4.0,,312.0
house_3399,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee ,1219,2.0,1.0,61.25
house_8050,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,9 Bedroom,,3600,9.0,3.0,240.0
house_6993,Super built-up  Area,18-Jul,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,66.0
house_6734,Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,GoratAr,1570,3.0,2.0,110.0
house_4153,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2006,4.0,2.0,196.0
house_6787,Built-up  Area,Ready To Move,Kereguddadahalli,1 BHK,Inave R,600,1.0,1.0,19.5
house_6922,Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1200,2.0,1.0,53.33
house_793,Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,VSomepi,1275,2.0,2.0,52.0
house_13034,Built-up  Area,Ready To Move,Hennur,2 BHK,,1050,2.0,2.0,42.73
house_5315,Built-up  Area,Ready To Move,Kengeri,3 BHK,Akdorli,1470,3.0,3.0,50.0
house_3776,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,58.0
house_6606,Plot  Area,Ready To Move,Sidedahalli,9 Bedroom,,1200,7.0,3.0,95.0
house_76,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,3.0,40.0
house_7181,Super built-up  Area,18-Jun,JP Nagar,3 BHK,,1275,2.0,2.0,43.6
house_7000,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1160,2.0,2.0,40.6
house_9424,Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1085,2.0,1.0,46.5
house_314,Super built-up  Area,18-Apr,Malleshpalya,2 BHK,,1140,2.0,2.0,46.5
house_12563,Built-up  Area,Ready To Move,Chennappa Layout,2 BHK,VaireSo,1220,2.0,2.0,52.0
house_7337,Super built-up  Area,Ready To Move,Kadugodi,2 BHK,SLoven ,1010,2.0,1.0,50.0
house_10910,Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,PhestOn,3600,5.0,,510.0
house_9095,Super built-up  Area,Ready To Move,Glass Factory Layout,2 BHK,SVhyaga,1152,2.0,1.0,42.0
house_12769,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,3.0,1.0,90.0
house_1405,Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,3073,5.0,2.0,696.0
house_3774,Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,1106,2.0,1.0,43.09
house_10081,Super built-up  Area,Ready To Move,Electronic City,2 BHK,MVnexde,890,2.0,1.0,40.0
house_5768,Super built-up  Area,Ready To Move,Kudlu,3 BHK,,1455,2.0,3.0,60.0
house_7359,Built-up  Area,Ready To Move,Yelahanka,2 BHK,JSlipTu,1200,2.0,2.0,55.0
house_6093,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1100,2.0,1.0,60.0
house_1390,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SocusHi,1700,3.0,3.0,110.0
house_8686,Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,,1145,2.0,2.0,75.0
house_10324,Built-up  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,,2800,5.0,1.0,220.0
house_7134,Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1400,2.0,2.0,65.8
house_6162,Plot  Area,Ready To Move,Kammasandra,3 Bedroom,Daden G,1400,3.0,2.0,92.0
house_8873,Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,1660 - 1805,3.0,0.0,91.855
house_10242,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1710,3.0,2.0,135.0
house_5881,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1270,2.0,3.0,55.25
house_6434,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2.0,1.0,36.0
house_788,Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,1200,4.0,0.0,90.0
house_10790,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1142,2.0,2.0,56.0
house_9469,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1475,2.0,3.0,59.0
house_6233,Built-up  Area,Ready To Move,Anandapura,2 BHK,LoLeoen,1250,2.0,2.0,45.0
house_9562,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,1200,3.0,1.0,160.0
house_7246,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,55.5
house_7975,Super built-up  Area,Ready To Move,Bagalur,2 BHK,Haows M,985,2.0,2.0,57.0
house_2737,Built-up  Area,Ready To Move,Malleshwaram,2 BHK,SaeneSe,1124,3.0,2.0,80.0
house_5721,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,59.0
house_2332,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,75.0
house_1259,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1035,2.0,1.0,45.0
house_10255,Super built-up  Area,18-May,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,72.0
house_1215,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1697,3.0,2.0,94.79
house_11977,Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Sahtsva,992,2.0,1.0,70.0
house_4888,Super built-up  Area,19-Jul,Sarjapur  Road,2 BHK,Frhtsr ,1190,2.0,1.0,50.0
house_7403,Plot  Area,Ready To Move,Ganganahalli,4 Bedroom,,1050,4.0,0.0,90.0
house_1415,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1105,2.0,1.0,52.48
house_1319,Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,680,1.0,1.0,44.0
house_2802,Built-up  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,5000,5.0,2.0,395.0
house_6555,Plot  Area,18-Aug,Hulimavu,4 Bedroom,ValleCi,1500,4.0,3.0,192.0
house_750,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,126.0
house_222,Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4.0,1.0,75.5
house_11718,Super built-up  Area,18-Apr,Old Madras Road,2 BHK,Saesttt,1171,2.0,2.0,73.0
house_6610,Super built-up  Area,Ready To Move,Frazer Town,4 BHK,Meentan,4856,5.0,3.0,410.0
house_12066,Super built-up  Area,Ready To Move,BEML Layout,3 BHK,,2000,3.0,2.0,85.0
house_4540,Plot  Area,Ready To Move,Jalahalli,3 Bedroom,,600,3.0,2.0,60.0
house_12207,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,1100,2.0,2.0,47.0
house_1424,Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1330,2.0,1.0,71.0
house_7391,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2.0,2.0,49.3
house_4941,Plot  Area,Ready To Move,R.T. Nagar,5 Bedroom,,2400,6.0,1.0,450.0
house_7270,Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,SaMTBai,1885,3.0,3.0,90.0
house_9214,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,1720,3.0,3.0,98.97
house_2845,Built-up  Area,Ready To Move,Koramangala,2 BHK,Vaanda ,1140,2.0,1.0,75.2
house_11475,Built-up  Area,Ready To Move,Harlur,2 BHK,,1225,2.0,2.0,56.0
house_7716,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,1452,3.0,,90.0
house_2827,Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,,1400,2.0,1.0,67.0
house_9897,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1300,2.0,2.0,52.0
house_6966,Super built-up  Area,18-Mar,Electronic City,3 BHK,GMown E,1500,2.0,1.0,77.5
house_8514,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,75.0
house_186,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2.0,2.0,55.7
house_879,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Sueneu ,1145,2.0,2.0,60.0
house_4385,Plot  Area,Ready To Move,Seegehalli,2 Bedroom,,1155,2.0,0.0,72.0
house_3529,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2.0,2.0,38.55
house_5900,Built-up  Area,Ready To Move,Ganesha Block,3 BHK,,1810,3.0,3.0,118.0
house_7883,Super built-up  Area,Ready To Move,Vasanth nagar,4 BHK,LeeyaCa,2000,3.0,2.0,1063.0
house_259,Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3.0,2.0,170.0
house_11547,Built-up  Area,Ready To Move,Battarahalli,4 Bedroom,,2700,3.0,0.0,75.0
house_4071,Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1485,3.0,2.0,115.0
house_3349,Super built-up  Area,19-Dec,Domlur Layout,3 BHK,,2000,3.0,2.0,200.0
house_7860,Plot  Area,18-Apr,Basaveswarnagar,6 Bedroom,,2400,4.0,2.0,420.0
house_9992,Plot  Area,Ready To Move,kamanahalli main road,3 Bedroom,,857,3.0,2.0,95.0
house_6855,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1156,2.0,2.0,46.9
house_120,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0
house_11005,Super built-up  Area,18-Mar,8th Phase JP Nagar,2 BHK,,1245,2.0,1.0,59.0
house_12526,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1160,2.0,2.0,44.08
house_5355,Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,Shitt S,1335,2.0,2.0,67.0
house_8671,Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,,1393,3.0,2.0,54.0
house_6441,Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,SLarkic,1250,2.0,1.0,68.0
house_7290,Super built-up  Area,Ready To Move,Hormavu,2 BHK,Jhntspa,1100,2.0,3.0,38.0
house_8218,Super built-up  Area,Ready To Move,Mallathahalli,3 BHK,,1320,2.0,2.0,55.0
house_4542,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Pao 3ow,1060,2.0,1.0,58.0
house_2239,Plot  Area,Ready To Move,Ngef Layout,2 Bedroom,,3000,2.0,0.0,510.0
house_7004,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1255,2.0,3.0,50.19
house_8216,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,Javasi ,1300,2.0,1.0,54.0
house_4286,Built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Goateds,1300,2.0,2.0,102.0
house_8325,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1175,2.0,2.0,50.0
house_10248,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1350,2.0,1.0,85.0
house_11012,Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MMowsik,1110,2.0,1.0,43.0
house_8795,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Bregae ,1310,2.0,2.0,80.43
house_612,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1075,2.0,2.0,45.8
house_8579,Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Jaood G,1000,2.0,1.0,34.0
house_4118,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,60.0
house_5014,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,104.0
house_12171,Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,SoersTo,900,2.0,1.0,40.0
house_1075,Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,Soena A,1290,2.0,3.0,74.0
house_11386,Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,,1350,2.0,2.0,89.5
house_2008,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,94.99
house_2119,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1405,2.0,2.0,59.01
house_4943,Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,418,1.0,1.0,12.0
house_8300,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Palleon,1350,3.0,2.0,66.0
house_13299,Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830 - 2882,5.0,0.0,154.5
house_11109,Super built-up  Area,18-Jul,Rajaji Nagar,2 BHK,ProdsWe,1376,2.0,1.0,124.0
house_6782,Super built-up  Area,Ready To Move,Sultan Palaya,3 BHK,Vaaldak,1713,3.0,3.0,125.0
house_5506,Super built-up  Area,18-May,GM Palaya,2 BHK,,1225,2.0,2.0,47.0
house_8540,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3.0,3.0,75.0
house_881,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1278,2.0,2.0,95.0
house_4306,Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,47.0
